x,y
1,51.02
2,52.36
3,53.95
4,57.74
5,56.55
6,53.66
7,60.29
8,59.53
9,60.62
10,62.44
11,63.49
12,66.87
13,65.81
14,64.5
15,62.17
16,61.43
17,65.19
18,68.26
19,64.22
20,63.47
21,65.0
22,58.59
23,61.52
24,63.4
25,64.0
26,60.11
27,61.43
28,60.54
29,61.68
30,55.59
31,60.3
32,53.8
33,50.33
34,56.32
35,55.45
36,61.01
37,60.67
38,55.45
39,62.2
40,57.32
41,60.86
42,61.15
43,63.39
44,66.61
45,67.27
46,67.68
47,69.92
48,70.8
49,68.91
50,70.08
51,72.27
52,76.62
53,75.78
54,84.91
55,76.76
56,77.16
57,83.92
58,86.95
59,85.17
60,87.01
61,89.52
62,85.57
63,82.08
64,85.12
65,89.82
66,82.75
67,87.19
68,87.75
69,85.84
70,88.67
71,87.87
72,92.66
73,87.07
74,82.86
75,82.46
76,81.1
77,85.92
78,80.84
79,81.86
80,83.9
81,79.12
82,80.14
83,75.32
84,77.51
85,79.09
86,82.19
87,84.79
88,81.54
89,82.9
90,83.26
91,86.77
92,87.08
93,86.2
94,83.44
95,90.36
96,90.05
97,93.91
98,91.52
99,98.89
100,93.39
